DIA,TMP,RH,PM10
1,13.2,59.0,69.0
1,12.7,61.0,131.0
1,11.9,64.0,142.0
1,11.6,65.0,137.0
1,10.8,68.0,120.0
1,9.9,71.0,94.0
1,9.0,73.0,73.0
1,9.0,74.0,165.0
1,10.4,68.0,212.0
1,13.8,55.0,231.0
1,16.0,47.0,157.0
1,18.0,41.0,90.0
1,19.2,37.0,56.0
1,20.2,34.0,57.0
1,21.1,29.0,21.0
1,17.0,36.0,31.0
1,16.5,41.0,36.0
1,15.6,44.0,38.0
1,13.1,68.0,24.0
2,11.1,77.0,52.0
2,10.7,79.0,37.0
2,10.4,78.0,30.0
2,10.5,78.0,41.0
2,10.7,78.0,58.0
2,10.8,77.0,64.0
2,10.7,77.0,64.0
2,10.9,77.0,81.0
2,11.5,75.0,93.0
2,12.8,68.0,75.0
2,14.2,61.0,48.0
2,15.8,53.0,59.0
2,17.0,47.0,55.0
2,16.0,45.0,55.0
2,16.8,42.0,41.0
2,15.7,46.0,62.0
2,15.3,46.0,29.0
2,14.9,49.0,33.0
2,14.5,51.0,33.0
2,14.1,52.0,23.0
3,13.8,53.0,15.0
3,13.2,56.0,28.0
3,12.4,59.0,39.0
3,11.3,62.0,33.0
3,10.7,66.0,54.0
3,9.9,71.0,63.0
3,9.4,76.0,111.0
3,8.0,77.0,94.0
3,9.0,74.0,98.0
3,11.3,68.0,115.0
3,14.1,57.0,95.0
3,15.8,50.0,132.0
3,17.7,43.0,106.0
3,12.1,71.0,57.0
3,11.7,73.0,76.0
4,11.3,74.0,55.0
4,10.7,77.0,74.0
4,10.5,78.0,63.0
4,10.1,79.0,42.0
4,9.6,82.0,57.0
4,8.0,85.0,98.0
4,9.1,83.0,100.0
4,10.7,75.0,101.0
4,14.8,58.0,151.0
4,16.0,54.0,176.0
4,17.2,50.0,171.0
4,19.0,38.0,84.0
4,19.8,39.0,132.0
4,19.0,42.0,102.0
4,17.0,53.0,128.0
4,14.1,70.0,89.0
4,13.6,74.0,50.0
4,13.6,71.0,55.0
4,13.0,73.0,73.0
4,12.1,77.0,51.0
5,11.7,77.0,67.0
5,11.4,78.0,74.0
5,10.4,79.0,70.0
5,9.0,81.0,53.0
5,9.4,83.0,71.0
5,9.0,83.0,66.0
5,8.0,83.0,59.0
5,8.0,83.0,71.0
5,9.9,78.0,113.0
5,12.6,70.0,136.0
5,14.9,62.0,173.0
5,16.7,54.0,155.0
5,18.0,46.0,121.0
5,19.3,41.0,104.0
5,20.3,38.0,89.0
5,20.5,36.0,63.0
5,20.3,36.0,93.0
5,14.7,60.0,49.0
5,14.3,62.0,30.0
5,13.2,67.0,53.0
5,12.8,68.0,59.0
6,15.4,54.0,83.0
6,17.0,45.0,77.0
6,19.0,38.0,80.0
6,20.2,36.0,84.0
6,21.1,32.0,86.0
6,20.9,32.0,60.0
6,17.0,48.0,50.0
6,15.5,55.0,64.0
6,14.3,62.0,98.0
6,13.3,65.0,68.0
6,12.6,69.0,50.0
6,11.8,71.0,69.0
7,10.9,74.0,87.0
7,9.5,80.0,81.0
7,8.0,90.0,94.0
7,8.0,91.0,81.0
7,8.0,90.0,90.0
7,8.0,88.0,91.0
7,8.0,87.0,99.0
7,8.0,86.0,120.0
7,8.0,86.0,126.0
7,9.0,82.0,163.0
7,11.4,72.0,193.0
7,13.8,62.0,193.0
7,16.0,53.0,183.0
7,18.2,43.0,105.0
7,19.8,33.0,66.0
7,20.6,29.0,55.0
7,20.3,31.0,54.0
7,20.0,31.0,29.0
7,15.7,50.0,63.0
7,14.6,56.0,62.0
7,13.5,59.0,70.0
7,12.8,59.0,46.0
8,12.0,63.0,68.0
8,11.9,64.0,62.0
8,10.5,68.0,47.0
8,11.1,68.0,89.0
8,12.5,63.0,93.0
8,14.2,57.0,86.0
8,16.0,49.0,56.0
8,18.0,44.0,42.0
8,19.0,37.0,40.0
8,20.0,34.0,14.0
8,17.0,43.0,38.0
8,15.8,49.0,62.0
8,15.3,52.0,31.0
8,15.6,54.0,21.0
9,15.1,59.0,13.0
9,14.8,56.0,20.0
9,14.5,55.0,8.0
9,14.5,55.0,20.0
9,13.9,57.0,22.0
9,13.8,61.0,28.0
9,13.6,60.0,29.0
9,14.5,48.0,53.0
9,16.7,41.0,71.0
9,18.0,35.0,29.0
9,19.0,30.0,36.0
9,21.7,29.0,17.0
9,21.8,30.0,24.0
9,20.8,32.0,25.0
9,19.2,36.0,37.0
9,17.0,40.0,56.0
10,9.0,66.0,66.0
10,11.0,59.0,62.0
10,14.8,47.0,70.0
10,17.0,40.0,79.0
10,19.3,36.0,96.0
10,21.4,29.0,77.0
10,22.5,25.0,24.0
10,24.0,22.0,39.0
10,23.4,22.0,56.0
10,20.2,34.0,89.0
10,19.0,37.0,126.0
10,17.7,43.0,59.0
10,16.5,48.0,90.0
10,15.4,52.0,63.0
11,14.1,55.0,69.0
11,13.3,59.0,59.0
11,12.5,61.0,42.0
11,11.5,63.0,31.0
11,10.9,63.0,82.0
11,12.6,59.0,100.0
11,14.7,54.0,127.0
11,17.0,46.0,104.0
11,19.0,38.0,103.0
11,21.2,29.0,61.0
11,22.6,25.0,66.0
11,23.1,25.0,36.0
11,23.7,25.0,64.0
11,23.7,25.0,90.0
11,23.3,25.0,96.0
12,12.9,57.0,38.0
