DIA,TMP,RH,PM10
1,12.7,53.0,30.0
1,15.1,47.0,67.0
1,16.9,43.0,122.0
1,18.7,33.0,135.0
1,20.3,27.0,52.0
1,20.8,27.0,42.0
1,21.1,27.0,47.0
1,19.6,31.0,57.0
1,17.8,36.0,92.0
1,16.5,39.0,92.0
1,13.3,45.0,111.0
1,9.0,54.0,80.0
1,5.2,66.0,86.0
1,5.1,66.0,61.0
1,5.6,52.0,44.0
1,4.4,44.0,25.0
2,4.0,41.0,9.0
2,4.3,40.0,14.0
2,4.4,33.0,24.0
2,4.6,34.0,8.0
2,4.5,36.0,18.0
2,4.4,36.0,12.0
2,3.9,41.0,14.0
2,3.6,47.0,49.0
2,5.4,38.0,36.0
2,6.6,31.0,37.0
2,7.5,30.0,34.0
2,8.1,31.0,44.0
2,9.4,21.0,47.0
2,10.6,15.0,49.0
2,12.2,13.0,62.0
2,12.4,13.0,64.0
2,11.4,16.0,62.0
2,9.4,20.0,64.0
2,7.9,23.0,66.0
2,5.9,25.0,57.0
2,4.2,29.0,41.0
2,2.6,32.0,37.0
2,1.2,38.0,30.0
2,0.7,36.0,29.0
3,0.9,21.0,21.0
3,0.2,23.0,4.0
3,-0.6,32.0,20.0
3,-0.9,33.0,17.0
3,-0.8,20.0,13.0
3,-0.6,17.0,10.0
3,-0.4,15.0,6.0
3,1.0,13.0,2.0
3,4.1,10.0,11.0
3,6.8,7.0,13.0
3,8.7,6.0,13.0
3,11.1,5.0,12.0
3,13.0,5.0,22.0
3,14.1,5.0,28.0
3,16.5,3.0,31.0
3,16.5,3.0,35.0
3,15.9,4.0,44.0
3,13.1,3.0,41.0
3,11.9,4.0,38.0
3,9.9,7.0,43.0
3,8.3,10.0,62.0
3,7.3,13.0,63.0
3,6.8,13.0,59.0
3,6.5,13.0,40.0
4,5.6,16.0,38.0
4,5.1,19.0,38.0
4,4.7,18.0,44.0
4,4.5,17.0,30.0
4,3.7,16.0,29.0
4,3.2,18.0,9.0
4,3.8,15.0,32.0
4,5.2,16.0,37.0
4,9.5,13.0,42.0
4,11.5,11.0,37.0
4,13.5,10.0,53.0
4,15.3,8.0,60.0
4,17.1,6.0,53.0
4,18.2,3.0,53.0
4,19.6,1.0,38.0
4,19.7,1.0,26.0
4,18.8,1.0,34.0
4,16.2,2.0,34.0
4,14.3,8.0,55.0
4,11.7,12.0,96.0
4,10.5,13.0,78.0
4,9.9,14.0,51.0
4,9.6,15.0,39.0
4,9.3,17.0,37.0
5,8.6,18.0,58.0
5,8.3,18.0,50.0
5,8.3,18.0,40.0
5,7.9,18.0,45.0
5,7.7,17.0,35.0
5,6.8,18.0,42.0
5,5.7,20.0,42.0
5,7.2,17.0,76.0
5,11.1,13.0,100.0
5,14.2,8.0,82.0
5,15.9,7.0,53.0
5,18.2,5.0,46.0
5,19.0,3.0,46.0
5,19.5,3.0,45.0
5,20.9,3.0,54.0
5,21.3,2.0,44.0
5,19.9,4.0,68.0
5,18.1,5.0,85.0
5,16.5,7.0,120.0
5,13.8,13.0,139.0
5,11.2,35.0,179.0
5,8.9,44.0,157.0
5,7.7,52.0,91.0
5,7.1,57.0,82.0
6,6.2,63.0,61.0
6,5.5,68.0,31.0
6,5.2,71.0,47.0
6,4.6,72.0,57.0
6,4.3,71.0,52.0
6,3.8,67.0,74.0
6,3.5,69.0,97.0
6,5.2,62.0,103.0
6,8.4,52.0,77.0
6,11.3,42.0,99.0
6,14.4,31.0,88.0
6,16.3,22.0,90.0
6,17.8,17.0,86.0
6,19.9,15.0,79.0
6,21.9,12.0,71.0
6,21.7,11.0,48.0
6,20.8,13.0,61.0
6,18.2,16.0,69.0
6,15.8,19.0,55.0
6,14.1,24.0,57.0
6,13.1,32.0,99.0
6,11.9,31.0,83.0
6,10.9,31.0,61.0
6,10.1,34.0,60.0
7,9.4,37.0,60.0
7,9.1,38.0,56.0
7,8.5,39.0,41.0
7,8.2,40.0,49.0
7,8.3,38.0,37.0
7,8.4,39.0,32.0
7,8.1,41.0,29.0
7,9.4,41.0,50.0
7,13.5,32.0,66.0
7,15.0,29.0,85.0
7,17.8,20.0,56.0
7,19.2,17.0,28.0
7,20.0,17.0,45.0
7,22.3,14.0,40.0
7,23.1,14.0,51.0
7,22.8,15.0,66.0
7,20.4,18.0,60.0
7,19.1,21.0,63.0
7,17.4,25.0,64.0
7,15.1,29.0,60.0
7,14.0,31.0,49.0
7,13.5,32.0,48.0
7,12.7,34.0,41.0
7,12.2,35.0,33.0
8,11.6,36.0,30.0
8,11.3,37.0,24.0
8,10.5,39.0,31.0
8,10.1,40.0,30.0
8,10.2,40.0,19.0
8,9.5,42.0,21.0
8,9.2,43.0,29.0
8,10.9,40.0,53.0
8,13.6,33.0,33.0
8,15.8,28.0,29.0
8,18.1,24.0,32.0
8,19.2,23.0,69.0
8,21.0,20.0,56.0
8,21.2,20.0,59.0
8,19.9,22.0,68.0
8,20.2,22.0,58.0
8,20.2,22.0,61.0
8,18.9,25.0,56.0
8,17.2,28.0,64.0
8,15.0,33.0,70.0
8,13.7,31.0,50.0
8,12.9,32.0,44.0
8,11.9,34.0,35.0
8,11.6,35.0,30.0
9,11.6,34.0,21.0
9,11.1,35.0,30.0
9,10.4,37.0,16.0
9,10.1,37.0,7.0
9,10.0,38.0,12.0
9,9.6,42.0,23.0
9,9.6,43.0,32.0
9,10.7,42.0,36.0
9,14.2,32.0,38.0
9,16.5,27.0,38.0
9,18.1,27.0,62.0
9,20.0,22.0,63.0
9,20.8,20.0,65.0
9,22.2,18.0,73.0
9,23.6,16.0,77.0
9,23.1,15.0,78.0
9,22.0,16.0,70.0
9,19.6,20.0,68.0
9,17.8,22.0,54.0
9,15.8,25.0,46.0
9,14.5,27.0,33.0
9,13.5,30.0,26.0
9,13.0,31.0,31.0
9,12.8,30.0,32.0
10,12.2,33.0,24.0
10,11.6,36.0,17.0
10,11.4,35.0,16.0
10,11.1,35.0,16.0
10,10.4,37.0,16.0
10,10.4,39.0,23.0
10,9.9,43.0,31.0
10,10.5,45.0,31.0
10,13.4,40.0,23.0
10,16.3,33.0,24.0
10,18.5,25.0,36.0
10,19.5,22.0,40.0
10,20.5,23.0,42.0
10,20.5,23.0,54.0
10,21.5,20.0,45.0
10,23.1,17.0,43.0
10,21.9,19.0,56.0
10,19.4,22.0,45.0
10,17.4,26.0,39.0
10,15.0,30.0,32.0
10,13.7,38.0,38.0
10,12.8,40.0,34.0
10,12.2,40.0,19.0
10,11.9,40.0,13.0
11,11.3,40.0,18.0
11,10.5,43.0,6.0
11,9.9,43.0,4.0
11,10.5,40.0,14.0
11,9.7,45.0,8.0
11,9.5,45.0,15.0
11,10.1,39.0,11.0
11,11.1,41.0,16.0
11,13.1,40.0,25.0
11,15.4,33.0,24.0
11,17.5,30.0,39.0
11,19.1,26.0,65.0
11,20.0,25.0,55.0
11,22.0,21.0,72.0
11,22.6,19.0,102.0
11,21.9,19.0,101.0
11,20.9,20.0,94.0
11,18.4,24.0,65.0
11,16.3,27.0,53.0
11,14.4,30.0,57.0
11,12.9,33.0,47.0
11,12.1,36.0,31.0
11,11.4,38.0,29.0
11,11.1,37.0,26.0
12,10.6,39.0,12.0
12,10.7,38.0,4.0
12,11.1,36.0,7.0
12,9.9,40.0,4.0
12,9.6,41.0,9.0
12,9.6,41.0,12.0
12,9.6,41.0,11.0
12,10.2,41.0,27.0
12,13.3,34.0,30.0
12,16.1,28.0,22.0
12,18.0,25.0,32.0
12,18.9,23.0,48.0
12,20.5,21.0,45.0
12,22.0,18.0,49.0
12,22.4,18.0,67.0
12,21.8,20.0,65.0
12,20.8,20.0,44.0
12,18.5,23.0,59.0
12,16.5,25.0,46.0
12,14.8,28.0,44.0
12,14.3,30.0,24.0
12,12.8,39.0,53.0
12,11.5,44.0,62.0
12,10.4,49.0,53.0
13,9.4,52.0,41.0
13,8.7,50.0,38.0
13,8.4,51.0,41.0
13,8.0,54.0,49.0
13,7.6,54.0,40.0
13,7.1,51.0,31.0
13,6.9,51.0,41.0
13,7.8,49.0,60.0
13,11.2,36.0,40.0
13,13.2,34.0,60.0
13,16.1,26.0,65.0
13,18.1,21.0,65.0
13,18.8,20.0,52.0
13,19.4,21.0,73.0
13,19.7,21.0,91.0
13,18.6,23.0,90.0
13,16.2,29.0,83.0
13,15.1,33.0,85.0
13,12.5,41.0,84.0
13,10.5,48.0,77.0
13,8.9,55.0,64.0
13,7.7,61.0,53.0
13,6.6,67.0,58.0
13,5.7,72.0,50.0
14,4.8,78.0,40.0
14,4.6,80.0,50.0
14,5.0,78.0,51.0
14,5.4,75.0,52.0
14,5.2,76.0,55.0
14,4.9,77.0,57.0
14,4.7,78.0,59.0
14,4.8,78.0,75.0
14,5.9,73.0,96.0
14,7.3,67.0,81.0
14,10.4,55.0,89.0
14,12.9,46.0,94.0
14,15.3,39.0,93.0
14,14.9,37.0,93.0
14,14.3,36.0,84.0
14,13.8,36.0,68.0
14,12.8,41.0,75.0
14,11.9,43.0,72.0
14,10.7,45.0,67.0
14,7.8,64.0,38.0
14,7.0,74.0,40.0
14,8.1,66.0,37.0
14,7.6,70.0,42.0
14,6.3,78.0,59.0
15,5.8,79.0,60.0
15,5.3,83.0,49.0
15,5.5,82.0,50.0
15,5.1,82.0,51.0
15,4.7,83.0,47.0
15,4.6,84.0,52.0
15,4.3,84.0,44.0
15,4.2,87.0,61.0
15,4.7,91.0,53.0
15,5.9,85.0,34.0
15,6.6,83.0,53.0
15,7.6,80.0,21.0
15,7.0,83.0,28.0
