DIA,TMP,RH,PM10
1.0,13.96,42.467,74.2
2.0,6.313,29.478,39.043
3.0,7.322,11.478,27.261
4.0,11.083,11.043,43.696
5.0,12.835,16.826,74.826
6.0,12.117,38.348,71.478
7.0,14.7,28.652,49.957
8.0,14.874,31.0,44.391
9.0,15.609,28.348,43.913
10.0,15.343,31.652,31.87
11.0,14.8,32.783,41.696
12.0,14.926,31.435,35.522
13.0,11.861,42.087,60.435
14.0,8.765,61.391,66.391
15.0,6.522,79.783,34.522
16.0,8.295,61.714,17.762
17.0,10.761,43.957,12.13
18.0,13.722,33.478,21.696
19.0,15.274,29.696,34.826
20.0,15.726,34.87,55.435
21.0,15.122,31.783,51.826
22.0,15.452,22.478,42.783
23.0,15.214,24.727,32.227
24.0,16.161,21.0,31.652
25.0,15.474,26.217,55.435
26.0,11.257,48.0,59.652
27.0,12.835,47.13,49.043
28.0,14.061,41.652,44.522
29.0,16.057,33.783,30.043
30.0,17.017,30.261,33.696
31.0,15.519,37.286,35.19
1.0,17.148,30.435,34.913
2.0,16.796,29.174,41.826
3.0,16.904,20.913,37.217
4.0,16.939,25.13,44.0
5.0,13.043,56.87,51.304
6.0,16.778,37.696,35.261
7.0,14.617,51.261,37.87
8.0,16.657,31.565,32.783
9.0,16.586,23.136,32.455
10.0,17.787,16.826,36.522
11.0,17.11,13.81,40.381
12.0,17.255,8.727,41.818
13.0,16.567,12.048,47.714
14.0,16.768,14.955,40.227
15.0,17.809,17.783,59.217
16.0,18.983,21.435,59.478
17.0,19.033,22.238,61.524
18.0,19.97,18.087,51.522
19.0,17.1,37.957,79.435
20.0,16.787,33.696,70.0
21.0,17.257,27.0,57.19
22.0,17.157,30.913,64.043
23.0,16.036,39.955,61.636
24.0,14.283,51.739,49.696
25.0,13.209,66.318,36.364
26.0,13.755,64.545,43.364
27.0,15.835,45.043,42.174
28.0,16.791,30.826,40.696
29.0,16.6,24.435,52.696
30.0,16.413,18.739,32.348
1.0,17.709,15.696,40.174
2.0,17.196,27.609,68.913
3.0,14.861,50.13,48.826
4.0,15.561,35.348,71.783
5.0,16.357,20.304,42.609
6.0,15.417,34.696,67.652
7.0,17.03,26.826,71.13
8.0,17.048,27.522,59.478
9.0,17.887,21.957,64.435
10.0,17.796,20.087,63.391
11.0,16.868,35.045,76.045
12.0,14.043,63.957,58.739
13.0,11.591,80.304,26.739
14.0,13.013,75.348,27.565
15.0,14.639,61.739,48.696
16.0,16.239,50.087,46.217
17.0,17.636,40.455,36.045
18.0,17.504,44.826,29.739
